title,price,size,resolution,brand,rating
Телевизор LG LED 55UP77006LB UHD SMART,329990,55,4К UHD (3840x2160),LG,0
Телевизор LED KIVI 32 F 710KB (Smart),114890,32,Full HD (1920x1080),KIVI,5
Телевизор SAMSUNG QLED QE65Q60AAUXCE UHD SMART,649990,65,4К UHD (3840x2160),SAMSUNG,0
Телевизор DENN LED 32DE81BH ,89990,32,1366x768 HD,DENN,0
Телевизор SONY LED XR55X90JCEP UHD SMART,729990,55,4К UHD (3840x2160),SONY,0
Телевизор LG LED 60UP77506LA UHD SMART,369990,60,4К UHD (3840x2160),LG,0
Телевизор LG NanoCell 55NANO926PB UHD SMART,649990,55,4К UHD (3840x2160),LG,0
Телевизор LED KIVI 40 U 600KD,159890,40,4К UHD (3840x2160),KIVI,0
Телевизор LG LED 55UP76006LC UHD SMART,309990,55,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG LED UE55AU9000UXCE UHD SMART,439990,55,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG LED UE50AU8000UXCE UHD SMART,339990,50,4К UHD (3840x2160),SAMSUNG,0
Телевизор BLAUPUNKT LED 32WC265T HD,74990,32,HD (1366х768),BLAUPUNKT,4.2
Телевизор LED KIVI 40 F 510KD,134890,40,Full HD (1920x1080),KIVI,5
Телевизор QLED SAMSUNG QE 75 Q60TAUXCE,849990,75,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED SONY KD 65 XG7096,499990,65,4К UHD (3840x2160),SONY,0
Телевизор LED SONY KDL 50 WF665,249990,50,Full HD (1920x1080),SONY,0
Телевизор SAMSUNG QLED QE55Q80AAUXCE UHD SMART,709990,55,4К UHD (3840x2160),SAMSUNG,0
Телевизор LG NanoCell 65NANO766PA UHD SMART,529990,65,4К UHD (3840x2160),LG,0
Телевизор LG LED 86UP81006LA UHD SMART,1249990,86,4К UHD (3840x2160),LG,0
Телевизор LG LED 55UP78006LC UHD SMART,339990,55,4К UHD (3840x2160),LG,0
Телевизор LG LED 65UP76006LC UHD SMART,429990,65,4К UHD (3840x2160),LG,0
Телевизор LG NanoCell 55NANO806PA UHD SMART,479990,55,4К UHD (3840x2160),LG,0
Телевизор LG LED 43UP77006LB UHD SMART,234990,43,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG QLED QE50Q60AAUXCE UHD SMART,419990,50,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG LED UE43AU9000UXCE UHD SMART,299990,43,4К UHD (3840x2160),SAMSUNG,0
Телевизор LG LED 50UP78006LC UHD SMART,289990,50,4К UHD (3840x2160),LG,0
Телевизор LG LED 43UP76906LE UHD SMART,234990,43,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG LED UE70AU7100UXCE UHD SMART,569990,70,4К UHD (3840x2160),SAMSUNG,0
Телевизор LG OLED48C1RLA,649990,48,4К UHD (3840x2160),LG,0
Телевизор BLAUPUNKT LED 50UN265T UHD SMART,189990,50,4К UHD (3840x2160),BLAUPUNKT,5
Телевизор BLAUPUNKT LED 43UN265T UHD SMART,144990,43,4К UHD (3840x2160),BLAUPUNKT,4.8
Телевизор REBUS LED 43DS6500,114990,43,Full HD (1920x1080),REBUS,0
"Телевизор LED SONY KD 49 XH8096 (4K,Android)",349990,49,4К UHD (3840x2160),SONY,5
Телевизор LED SAMSUNG QE 43 LS 05TAUXRU,599990,43,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED TCL 40 S65A (Android),169990,40,Full HD (1920x1080),TCL,0
Телевизор LED SAMSUNG QE 50 LS 03TAUXCE,479990,50,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED SAMSUNG UE 50 TU 7100 (4K),249990,50,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED SAMSUNG QE 49 LS 01TAUXRU,479990,49,4К UHD (3840x2160),SAMSUNG,5
Телевизор LED LG 32 LM570,129990,32,HD (1366х768),LG,0
Телевизор LED SONY KDL 43 WF665,229990,43,Full HD (1920x1080),SONY,0
Телевизор SAMSUNG QLED QE65QN90AAUXCE UHD SMART,1279990,65,4К UHD (3840x2160),SAMSUNG,0
Телевизор LG MiniLED 75QNED996PB 8K SMART,2699990,75,8K (7680 x 4320),LG,0
Телевизор SAMSUNG QLED QE55LS03AAUXCE The Frame UHD SMART,699990,55,4К UHD (3840x2160),SAMSUNG,0
Телевизор LG NanoCell 50NANO766PA UHD SMART,329990,50,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG QLED QE65LS03AAUXCE The Frame UHD SMART,949990,65,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG QLED QE43LS03AAUXCE The Frame UHD SMART,539990,43,4К UHD (3840x2160),SAMSUNG,0
Телевизор LG NanoCell 43NANO766PA UHD SMART,289990,43,4К UHD (3840x2160),LG,0
Телевизор LG LED 65UP78006LC UHD SMART,459990,65,4К UHD (3840x2160),LG,0
Телевизор LG LED 43UP78006LC UHD SMART,239990,43,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG LED UE65AU9000UXCE UHD SMART,589990,65,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG QLED QE75QN85AAUXCE UHD SMART,1599990,75,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED KIVI 43 U 710KB,219890,43,4К UHD (3840x2160),KIVI,5
Телевизор LED KIVI 32 F 710KW (Smart),124890,32,Full HD (1920x1080),KIVI,4.923076923076923
"Телевизор LED SONY KD 49 XH8596 (4K,Android)",449990,49,4К UHD (3840x2160),SONY,0
Телевизор LED LG 55 UN74006LA (4K),324990,55,4К UHD (3840x2160),LG,0
Телевизор QLED SAMSUNG QE 65 Q95TAUXCE,1299990,65,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED SAMSUNG QE 75 LS 03TAUXCE,1249990,75,4К UHD (3840x2160),SAMSUNG,0
Телевизор QLED SAMSUNG QE 75 Q70TAUXCE,999990,75,4К UHD (3840x2160),SAMSUNG,5
Телевизор LED SONY KDL 40 WD653,169990,40,Full HD (1920x1080),SONY,0
Телевизор SONY LED KD50X85TJCEP UHD SMART,549990,50,4К UHD (3840x2160),SONY,0
Телевизор LG LED 75UP77506LA UHD SMART,739990,75,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG QLED QE85Q60AAUXCE UHD SMART,1499990,85,4К UHD (3840x2160),SAMSUNG,0
Телевизор LG LED 82UP81006LA UHD SMART,1199990,82,4К UHD (3840x2160),LG,0
